Name,Country,Position,Age,Overall_Rating,Future Potential,Team,Value Per M$,Total_Stats Score
Willian Pacho,Ecuador,CB,20,74,84,Antwerp,8.5,1695
Gabriel Veron Fonseca de Souza,Brazil,LM,19,75,86,Porto,12,1727
Charlie Patino,England,CDM,18,67,85,Blackpool,2.6,1748
Exequiel Zeballos,Argentina,LW,20,72,84,Boca Juniors,5.5,1727
Mateo Joseph,England,ST,18,62,82,Leeds United,1.1,1498
Eliesse Ben Seghir,France,ST,17,71,86,Monaco,4.3,1745
İlkay Gündoğan,Germany,CDM,31,85,85,Manchester City,44,2191
Emre Can,Germany,CB,28,83,83,Borussia Dortmund,32,2253
Hakim Ziyech,Morocco,CAM,29,82,82,Chelsea,30,2064
João Pedro Cavaco Cancelo,Portugal,RM,28,87,87,FC Bayern München,72,2252
Bernardo Mota Carvalho e Silva,Portugal,CM,27,88,88,Manchester City,96.5,2210
Manuel Locatelli,Italy,CM,24,82,86,Juventus,40,2132
Reiss Nelson,England,LW,22,73,80,Arsenal,6,1781
Gabriel dos S. Magalhães,Brazil,CB,24,82,86,Arsenal,39.5,1744
João Pedro Neves Filipe,Portugal,RW,23,77,83,Celtic,16.5,1914
Jérémy Doku,Belgium,RW,20,75,85,Rennes,12.5,1779
Brenden Aaronson,United States,CM,21,75,83,Leeds United,12.5,1939
Gustav Isaksen,Denmark,LW,21,73,82,Midtjylland,7,1766
Sergiño Dest,United States,LB,21,76,83,Milan,14.5,1981
Nuno Alexandre Tavares Mendes,Portugal,LWB,20,81,89,Paris Saint Germain,54,2088
Mike Trésor,Belgium,CAM,23,77,83,Genk,16.5,1854
Amad Diallo,Côte d'Ivoire,CAM,19,73,85,Sunderland,7,1741
Kenneth Taylor,Netherlands,CDM,20,75,84,Ajax,12.5,1994
Luca Netz,Germany,LM,19,73,83,Borussia Mönchengladbach,6.5,1800
Osman Bukari,Ghana,ST,23,72,74,Ghana,0,1809
Tino Livramento,England,RB,19,74,84,Southampton,8.5,1841
Matteo Cancellieri,Italy,CF,19,73,86,Lazio,7,1874
Micky van de Ven,Netherlands,LB,21,77,85,VfL Wolfsburg,22,1808
L. Henrique Rosa da Silva,Brazil,LM,21,75,85,Real Betis,12.5,1882
Marko Lazetić,Serbia,LM,18,65,84,Rheindorf Altach,1.8,1659
Mathys Tel,France,RM,17,67,86,FC Bayern München,2.6,1679
André Nogueira Gomes,Portugal,GK,17,63,86,Benfica,1.4,1080
Calvin Bassey,Nigeria,LB,22,74,82,Ajax,9,1874
Maarten Vandevoordt,Belgium,GK,20,74,84,Genk,8,1130
Borna Sosa,Croatia,LWB,24,79,83,VfB Stuttgart,23.5,2000
Armand Laurienté,France,ST,23,77,82,Sassuolo,16,1899
Maxence Lacroix,France,CB,22,76,84,VfL Wolfsburg,15.5,1719
Jacob Ramsey,England,LM,21,75,83,Aston Villa,12.5,2079
Mateus Tetê,Brazil,RW,22,77,86,Leicester City,23.5,1869
Giacomo Raspadori,Italy,ST,22,79,86,Napoli,36,1869
Fábio Daniel Ferreira Vieira,Portugal,RW,22,77,86,Arsenal,23.5,1852
Hugo Ekitike,France,ST,20,76,84,Paris Saint Germain,16.5,1749
Devyne Rensch,Netherlands,LB,19,74,84,Ajax,8.5,1883
Kaio Jorge Pinto Ramos,Brazil,ST,20,71,82,Juventus,4.1,1723
Quentin Merlin,France,LWB,20,71,84,Nantes,4.3,1921
Zlatan Ibrahimović,Sweden,ST,40,80,80,Milan,0,1946
Sergio Ramos García,Spain,CB,36,84,84,Paris Saint Germain,7.5,2136
Kyle Walker,England,RB,32,84,84,Manchester City,29,2186
Jordi Alba Ramos,Spain,LB,33,85,85,FC Barcelona,28,2218
Heung Min Son,Korea Republic,LW,29,88,88,Tottenham Hotspur,89.5,2129
Mauro Icardi,Argentina,ST,29,79,79,Galatasaray,17.5,1906
Oumar Niasse,Senegal,ST,32,64,64,Morecambe,0.475,1590
Thomas Lemar,France,RM,26,83,84,Atlético Madrid,42.5,2214
Andreas Christensen,Denmark,CB,26,82,85,FC Barcelona,35.5,1782
Ruben Loftus-Cheek,England,RM,26,77,78,Chelsea,12.5,1987
Donny van de Beek,Netherlands,CDM,25,77,80,Manchester United,14,2083
Nicolò Barella,Italy,CM,25,85,87,Inter,67,2297
Manuel Akanji,Switzerland,CB,26,82,83,Manchester City,31.5,1965
Mikel Oyarzabal Ugarte,Spain,LW,25,83,84,Real Sociedad,43.5,2033
Franck Yannick Kessié,Côte d'Ivoire,CAM,25,84,86,FC Barcelona,47.5,2206
Donyell Malen,Netherlands,LM,23,79,82,Borussia Dortmund,24,1994
Alban Lafont,France,GK,23,79,84,Nantes,21.5,1258
Richarlison de Andrade,Brazil,LW,25,81,84,Tottenham Hotspur,34.5,2106
Milan Škriniar,Slovakia,CB,27,85,85,Inter,49.5,1846
Lucas Tolentino Coelho de Lima,Brazil,CM,24,81,86,West Ham United,39,2181
Niklas Schmidt,Germany,CF,24,70,75,Werder Bremen,2.4,1847
Carlos Acevedo,Mexico,GK,26,77,78,Mexico,0,1313
Youssef En-Nesyri,Morocco,ST,25,80,83,Sevilla,28.5,1925
David Raum,Germany,LM,24,79,84,RB Leipzig,24.5,2055
Nicolò Zaniolo,Italy,RM,22,80,84,Galatasaray,31,2081
Marc Cucurella Saseta,Spain,LWB,23,80,84,Chelsea,28,2126
Rodrigo Bentancur,Uruguay,CM,25,82,86,Tottenham Hotspur,42,2163
Lorenzo Pellegrini,Italy,CF,26,83,85,Roma,45,2250
Robert Lynch Sánchez,Spain,GK,24,79,82,Brighton & Hove Albion,18.5,1295
Davide Calabria,Italy,RWB,25,80,83,Milan,25.5,2036
Denis Zakaria,Switzerland,CM,25,80,85,Chelsea,28.5,2039
Brahim Díaz,Spain,RW,22,79,84,Milan,27,1830
Akram Afif,Qatar,CAM,25,76,77,Qatar,0,1847
Facundo Medina,Argentina,CB,23,78,83,Lens,19,1779
Nicolás González,Argentina,LW,24,80,83,Fiorentina,29,1985
Tyrick Mitchell,England,LB,22,76,82,Crystal Palace,11.5,1798
Mateo Retegui,Italy,ST,23,77,84,Tigre,21.5,1848
Jordan Beyer,Germany,RB,22,75,82,Burnley,10.5,1755
Giovanni Reyna,United States,LM,19,78,85,Borussia Dortmund,27.5,1933
Billy Gilmour,Scotland,CDM,21,72,80,Brighton & Hove Albion,5,1851
Mads Bidstrup,Denmark,CM,21,73,82,Nordsjælland,6.5,1882
Manor Solomon,Israel,CAM,22,77,84,Fulham,21.5,1870
Edmond Tapsoba,Burkina Faso,CB,23,81,85,Bayer 04 Leverkusen,33,1914
Gastón Ávila,Argentina,CB,20,71,82,Antwerp,3.9,1833
Gabriel Slonina,United States,GK,18,66,81,Chelsea,1.7,1044
Milan van Ewijk,Netherlands,RB,21,74,82,SC Heerenveen,9,1851
Talles Magno Bacelar Martins,Brazil,LM,20,73,84,New York City,6.5,1757
Josip Šutalo,Croatia,CB,22,77,85,Dinamo Zagreb,22,1743
F. Evanilson de Lima Barbosa,Brazil,ST,22,78,85,Porto,29,1794
Jamal Musiala,Germany,CM,19,84,92,FC Bayern München,91,2042
Nicolas Seiwald,Austria,CDM,21,75,84,Salzburg,12.5,2016
Luka Romero,Argentina,RW,17,69,84,Lazio,3.2,1837
Gabriel Veiga Novas,Spain,CAM,20,69,85,Celta de Vigo,3.6,1819
Castello Lukeba,France,CB,19,77,85,Olympique Lyonnais,21,1868
Stipe Biuk,Croatia,LW,19,71,85,Los Angeles FC,4.4,1720
Vinicius de Souza Costa,Brazil,CB,23,77,84,Espanyol,20,1826
Jesurun Rak-Sakyi,England,RM,19,69,80,Charlton Athletic,3,1670
Roony Bardghji,Sweden,RW,16,66,86,København,2.3,1611
Matías Soulé,Argentina,RW,19,70,85,Juventus,3.8,1759
Kieran Trippier,England,RB,31,84,84,Newcastle United,30.5,2214
Pierre-Emerick Aubameyang,Gabon,ST,33,82,82,Chelsea,19.5,1996
Kevin De Bruyne,Belgium,CAM,31,91,91,Manchester City,107.5,2299
Emiliano Martínez,Argentina,GK,29,85,85,Aston Villa,37,1472
Jack Grealish,England,LM,26,84,84,Manchester City,46,2084
Nathan Aké,Netherlands,LB,27,80,81,Manchester City,21,2012
Ivan Toney,England,ST,26,80,81,Brentford,25,2084
